date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:30	41034/41034	---M--	200	added ('OK')	text/html	etag:%22a04a-5089b8b1aa869%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/forgot-password.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/forgot-password.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:30	44029/44029	---M--	200	added ('OK')	text/html	etag:%22abfd-5089b86cc9a53%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/account-1.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/account-1.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:33	50615/50615	---M--	200	added ('OK')	text/html	etag:%22c5b7-5089b91d3850e%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/product-details.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/product-details.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:33	2734/2734	---M--	200	added ('OK')	image/png	etag:%22aae-5089b8c4c5a8e%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/logo.png	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/logo.png	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:33	27626/27626	---M--	200	added ('OK')	image/jpeg	etag:%226bea-5089b8d89cc5b%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/3.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/3.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:36	24589/24589	---M--	200	added ('OK')	image/jpeg	etag:%22600d-5089b8cf93899%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/2.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/2.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:39	86014/86014	---M--	200	added ('OK')	text/html	etag:%2214ffe-5089b8ab6a6d8%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/category.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/category.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:40	27292/27292	---M--	200	added ('OK')	image/jpeg	etag:%226a9c-5089b8de1d3bc%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/5.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/5.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:40	28930/28930	---M--	200	added ('OK')	image/jpeg	etag:%227102-5089b8dd8bf57%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/4.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/product/4.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:42	15002/15002	---M--	200	added ('OK')	image/jpeg	etag:%223a9a-5089b8fbe4107%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/promo3.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/promo3.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:42	39945/39945	---M--	200	added ('OK')	image/jpeg	etag:%229c09-5089b8fa5c381%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/promo1.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/promo1.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:43	20974/20974	---M--	200	added ('OK')	image/jpeg	etag:%2251ee-5089b8eb208bd%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/g4.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/g4.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:46	78691/78691	---M--	200	added ('OK')	text/html	etag:%2213363-5089b918beced%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index2.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index2.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:49	78301/78301	---M--	200	added ('OK')	text/html	etag:%22131dd-5089b919d9865%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index4.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index4.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:49	83397/83397	---M--	200	added ('OK')	text/html	etag:%22145c5-5089b9194b6d9%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index3.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index3.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:50	13993/13993	---M--	200	added ('OK')	image/jpeg	etag:%2236a9-5089b8fb217aa%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/promo2.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/promo2.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:52	71325/71325	---M--	200	added ('OK')	text/html	etag:%221169d-5089b91a69175%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index5.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index5.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:54	83449/83449	---M--	200	added ('OK')	text/html	etag:%22145f9-5089b91641d71%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index-header2.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index-header2.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:55	77546/77546	---M--	200	added ('OK')	text/html	etag:%2212eea-5089b916cd41f%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index-header3.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index-header3.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:55	32478/32478	---M--	200	added ('OK')	image/jpeg	etag:%227ede-5089b8ec02dc6%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/g5.jpg	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/images/site/g5.jpg	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:58	80513/80513	---M--	200	added ('OK')	text/html	etag:%2213a81-5089b9175b546%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index-static-search.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index-static-search.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:58:58	86063/86063	---M--	200	added ('OK')	text/html	etag:%221502f-5089b921842d0%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/sub-category.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/sub-category.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
13:59:03	86134/86134	---M--	200	added ('OK')	text/html	etag:%2215076-5089b8aad679c%22	http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/category-list.html	E:/10-2-2015/24/codepeoples.com/tanimdesign.net/thsop-v-1.3/white/category-list.html	(from http://codepeoples.com/tanimdesign.net/thsop-v-1.3/white/index.html)
